GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tp2maurogaspar,com.maven.tp2.modelo,Mensaje,0,106,0,0,0,44,0,22,0,22
tp2maurogaspar,com.maven.tp2.modelo,Usuario,0,136,0,0,0,56,0,28,0,28
tp2maurogaspar,com.maven.tp2.response,LoginResponseWrapper,3,13,0,0,2,6,1,3,1,3
tp2maurogaspar,com.maven.tp2,Configuracion,54,0,0,0,12,0,3,0,3,0
tp2maurogaspar,com.maven.tp2,AuthFilter.HeaderMapRequestWrapper,80,0,6,0,19,0,8,0,5,0
tp2maurogaspar,com.maven.tp2,App,17,0,0,0,4,0,3,0,3,0
tp2maurogaspar,com.maven.tp2,AuthFilter,45,0,2,0,11,0,3,0,2,0
tp2maurogaspar,com.maven.tp2.servicio,ServicioMensajes,0,97,0,0,0,44,0,9,0,9
tp2maurogaspar,com.maven.tp2.servicio,ServicioUsuarios,0,75,0,0,0,32,0,7,0,7
tp2maurogaspar,com.maven.tp2.request,MensajeRequest,3,63,0,0,1,27,1,18,1,18
tp2maurogaspar,com.maven.tp2.request,UsuarioRequest,3,91,0,0,1,39,1,26,1,26
tp2maurogaspar,com.maven.tp2.Wrappers,MensajeWrapper,0,49,0,0,0,19,0,8,0,8
tp2maurogaspar,com.maven.tp2.Wrappers,UsuarioWrapper,0,81,0,0,0,31,0,12,0,12
tp2maurogaspar,com.maven.tp2.util,AuthenticationData,17,0,0,0,7,0,5,0,5,0
tp2maurogaspar,com.maven.tp2.util,UsuarioSesion,6,40,0,0,2,18,2,8,2,8
tp2maurogaspar,com.maven.tp2.util,SessionData,97,4,6,0,24,1,8,1,5,1
tp2maurogaspar,com.maven.tp2.dao,DaoMensajes,6,435,0,10,3,90,1,14,1,9
tp2maurogaspar,com.maven.tp2.dao,DaoUsuarios,6,315,1,7,3,69,2,10,1,7
tp2maurogaspar,com.maven.tp2.controladora,ControladoraUsuarios,0,185,0,16,0,41,0,14,0,6
tp2maurogaspar,com.maven.tp2.controladora,ControladoraLogin,0,60,0,2,0,16,0,6,0,5
tp2maurogaspar,com.maven.tp2.controladora,ControladoraMensajes,0,249,0,16,0,55,0,16,0,8
